PROVINSI,JENIS_TANAMAN,LUAS_PANEN(Hektar),LUAS_SAWAH(Hektar),SUHU(C),CURAH_HUJAN(mm),PRODUKSI(ton),TAHUN
ACEH,0,367636.00,348232.00,"28,88","1 507,20",1547499.00,2003
SUMATERA UTARA,0,825188.00,538180.00,"29,08","3 140,20",3403075.00,2003
SUMATERA BARAT,0,411860.00,225369.00,"29,17","4 927,20",1823739.00,2003
RIAU,0,132887.00,128225.00,"29,64","2 949,20",414237.00,2003
JAMBI,0,159463.00,120552.00,"28,98","2 533,30",578346.00,2003
SUMATERA SELATAN,0,570010.00,512510.00,"29,64","2 674,00",1977345.00,2003
BENGKULU,0,110550.00,88432.00,"29,51","3 030,40",413375.00,2003
LAMPUNG,0,472635.00,303380.00,"29,67","1 682,20",1966293.00,2003
KEP. BANGKA BELITUNG,0,5236.00,3186.00,"29,19","2 900,00",12173.00,2003
KEP. RIAU,0,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,0,1724.00,2738.00,"30,92","1 644,30",7558.00,2003
JAWA BARAT,0,1664386.00,934140.00,"28,73","2 200,60",8776889.00,2003
JAWA TENGAH,0,1535625.00,995469.00,"29,31","2 473,60",8123839.00,2003
DI YOGYAKARTA,0,130681.00,57612.00,"29,87","1 834,30",652280.00,2003
JAWA TIMUR,0,1695514.00,1115239.00,"29,74","2 002,20",8914995.00,2003
BANTEN,0,348033.00,207530.00,"29,85","1 353,70",1691923.00,2003
BALI,0,145294.00,81870.00,"29,1","2 089,60",793260.00,2003
NUSA TENGGARA BARAT,0,319417.00,226627.00,"29,66","1 876,20",1422440.00,2003
NUSA TENGGARA TIMUR,0,176381.00,103341.00,"29,13","1 886,50",509419.00,2003
KALIMANTAN BARAT,0,353434.00,253316.00,"28,56","3 160,60",1027122.00,2003
KALIMANTAN TENGAH,0,195249.00,156645.00,29,"3 026,20",490080.00,2003
KALIMANTAN SELATAN,0,438487.00,420086.00,"29,02","2 773,20",1410141.00,2003
KALIMANTAN TIMUR,0,135809.00,92982.00,"28,85","2 293,40",430286.00,2003
KALIMANTAN UTARA,0,-,-,,,-,2003
SULAWESI UTARA,0,84385.00,64605.00,"28,67","3 470,50",369930.00,2003
SULAWESI TENGAH,0,190106.00,121670.00,"29,62","2 218,70",738607.00,2003
SULAWESI SELATAN,0,847305.00,619084.00,"28,74","3 053,90",4003079.00,2003
SULAWESI TENGGARA,0,91230.00,66939.00,"28,39","2 125,10",334307.00,2003
GORONTALO,0,34635.00,27598.00,"29,09","1 816,30",156158.00,2003
SULAWESI BARAT,0,-,-,"29,37","1 870,60",-,2003
MALUKU,0,9436.00,8401.00,"28,14","2 358,60",31189.00,2003
MALUKU UTARA,0,16409.00,11867.00,"28,7","2 024,50",60131.00,2003
PAPUA BARAT,0,-,4719.00,"27,73","2 126,20",-,2003
PAPUA,0,19029.00,36021.00,"28,49","2 431,00",57889.00,2003
ACEH,1,25188.00,348232.00,"28,88","1 507,20",67386.00,2003
SUMATERA UTARA,1,210782.00,538180.00,"29,08","3 140,20",687360.00,2003
SUMATERA BARAT,1,24253.00,225369.00,"29,17","4 927,20",85410.00,2003
RIAU,1,14581.00,128225.00,"29,64","2 949,20",31635.00,2003
JAMBI,1,8966.00,120552.00,"28,98","2 533,30",27077.00,2003
SUMATERA SELATAN,1,21404.00,512510.00,"29,64","2 674,00",59261.00,2003
BENGKULU,1,28214.00,88432.00,"29,51","3 030,40",52723.00,2003
LAMPUNG,1,330852.00,303380.00,"29,67","1 682,20",1087751.00,2003
KEP. BANGKA BELITUNG,1,708.00,3186.00,"29,19","2 900,00",2053.00,2003
KEP. RIAU,1,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,1,30.00,2738.00,"30,92","1 644,30",59.00,2003
JAWA BARAT,1,105167.00,934140.00,"28,73","2 200,60",443729.00,2003
JAWA TENGAH,1,559973.00,995469.00,"29,31","2 473,60",1926243.00,2003
DI YOGYAKARTA,1,65062.00,57612.00,"29,87","1 834,30",204129.00,2003
JAWA TIMUR,1,1169388.00,1115239.00,"29,74","2 002,20",4181550.00,2003
BANTEN,1,8331.00,207530.00,"29,85","1 353,70",24875.00,2003
BALI,1,29941.00,81870.00,"29,1","2 089,60",89819.00,2003
NUSA TENGGARA BARAT,1,31217.00,226627.00,"29,66","1 876,20",64228.00,2003
NUSA TENGGARA TIMUR,1,257724.00,103341.00,"29,13","1 886,50",583355.00,2003
KALIMANTAN BARAT,1,31438.00,253316.00,"28,56","3 160,60",84581.00,2003
KALIMANTAN TENGAH,1,5640.00,156645.00,29,"3 026,20",9226.00,2003
KALIMANTAN SELATAN,1,15371.00,420086.00,"29,02","2 773,20",30158.00,2003
KALIMANTAN TIMUR,1,5311.00,92982.00,"28,85","2 293,40",10997.00,2003
KALIMANTAN UTARA,1,-,-,,,-,2003
SULAWESI UTARA,1,65656.00,64605.00,"28,67","3 470,50",144668.00,2003
SULAWESI TENGAH,1,22309.00,121670.00,"29,62","2 218,70",49177.00,2003
SULAWESI SELATAN,1,213818.00,619084.00,"28,74","3 053,90",650832.00,2003
SULAWESI TENGGARA,1,37927.00,66939.00,"28,39","2 125,10",87650.00,2003
GORONTALO,1,58716.00,27598.00,"29,09","1 816,30",183998.00,2003
SULAWESI BARAT,1,-,-,"29,37","1 870,60",-,2003
MALUKU,1,5039.00,8401.00,"28,14","2 358,60",7895.00,2003
MALUKU UTARA,1,2464.00,11867.00,"28,7","2 024,50",3778.00,2003
PAPUA BARAT,1,-,4719.00,"27,73","2 126,20",-,2003
PAPUA,1,3041.00,36021.00,"28,49","2 431,00",4839.00,2003
ACEH,2,14519.00,348232.00,"28,88","1 507,20",18697.00,2003
SUMATERA UTARA,2,9910.00,538180.00,"29,08","3 140,20",10466.00,2003
SUMATERA BARAT,2,1613.00,225369.00,"29,17","4 927,20",2122.00,2003
RIAU,2,1423.00,128225.00,"29,64","2 949,20",1438.00,2003
JAMBI,2,2912.00,120552.00,"28,98","2 533,30",3992.00,2003
SUMATERA SELATAN,2,3977.00,512510.00,"29,64","2 674,00",4815.00,2003
BENGKULU,2,2309.00,88432.00,"29,51","3 030,40",2083.00,2003
LAMPUNG,2,4231.00,303380.00,"29,67","1 682,20",4360.00,2003
KEP. BANGKA BELITUNG,2,3.00,3186.00,"29,19","2 900,00",3.00,2003
KEP. RIAU,2,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,2,-,2738.00,"30,92","1 644,30",-,2003
JAWA BARAT,2,14971.00,934140.00,"28,73","2 200,60",19822.00,2003
JAWA TENGAH,2,98163.00,995469.00,"29,31","2 473,60",142315.00,2003
DI YOGYAKARTA,2,36327.00,57612.00,"29,87","1 834,30",35562.00,2003
JAWA TIMUR,2,222433.00,1115239.00,"29,74","2 002,20",287205.00,2003
BANTEN,2,2452.00,207530.00,"29,85","1 353,70",3245.00,2003
BALI,2,5765.00,81870.00,"29,1","2 089,60",7834.00,2003
NUSA TENGGARA BARAT,2,64608.00,226627.00,"29,66","1 876,20",76333.00,2003
NUSA TENGGARA TIMUR,2,3571.00,103341.00,"29,13","1 886,50",4032.00,2003
KALIMANTAN BARAT,2,1020.00,253316.00,"28,56","3 160,60",1144.00,2003
KALIMANTAN TENGAH,2,1429.00,156645.00,29,"3 026,20",1544.00,2003
KALIMANTAN SELATAN,2,5055.00,420086.00,"29,02","2 773,20",6400.00,2003
KALIMANTAN TIMUR,2,2087.00,92982.00,"28,85","2 293,40",2357.00,2003
KALIMANTAN UTARA,2,-,-,,,-,2003
SULAWESI UTARA,2,1903.00,64605.00,"28,67","3 470,50",2320.00,2003
SULAWESI TENGAH,2,1465.00,121670.00,"29,62","2 218,70",1648.00,2003
SULAWESI SELATAN,2,16992.00,619084.00,"28,74","3 053,90",24140.00,2003
SULAWESI TENGGARA,2,2086.00,66939.00,"28,39","2 125,10",1738.00,2003
GORONTALO,2,541.00,27598.00,"29,09","1 816,30",542.00,2003
SULAWESI BARAT,2,-,-,"29,37","1 870,60",-,2003
MALUKU,2,1237.00,8401.00,"28,14","2 358,60",1484.00,2003
MALUKU UTARA,2,463.00,11867.00,"28,7","2 024,50",552.00,2003
PAPUA BARAT,2,-,4719.00,"27,73","2 126,20",-,2003
PAPUA,2,3331.00,36021.00,"28,49","2 431,00",3407.00,2003
ACEH,3,14239.00,348232.00,"28,88","1 507,20",16887.00,2003
SUMATERA UTARA,3,22962.00,538180.00,"29,08","3 140,20",25097.00,2003
SUMATERA BARAT,3,7017.00,225369.00,"29,17","4 927,20",7821.00,2003
RIAU,3,3642.00,128225.00,"29,64","2 949,20",3363.00,2003
JAMBI,3,1836.00,120552.00,"28,98","2 533,30",1993.00,2003
SUMATERA SELATAN,3,6503.00,512510.00,"29,64","2 674,00",7682.00,2003
BENGKULU,3,6239.00,88432.00,"29,51","3 030,40",6040.00,2003
LAMPUNG,3,10921.00,303380.00,"29,67","1 682,20",12032.00,2003
KEP. BANGKA BELITUNG,3,320.00,3186.00,"29,19","2 900,00",312.00,2003
KEP. RIAU,3,-,-,"28,88","3 972,70",-,2003
DKI JAKARTA,3,18.00,2738.00,"30,92","1 644,30",18.00,2003
JAWA BARAT,3,67022.00,934140.00,"28,73","2 200,60",90170.00,2003
JAWA TENGAH,3,147226.00,995469.00,"29,31","2 473,60",174332.00,2003
DI YOGYAKARTA,3,69803.00,57612.00,"29,87","1 834,30",57767.00,2003
JAWA TIMUR,3,165277.00,1115239.00,"29,74","2 002,20",194676.00,2003
BANTEN,3,9668.00,207530.00,"29,85","1 353,70",12256.00,2003
BALI,3,14234.00,81870.00,"29,1","2 089,60",18452.00,2003
NUSA TENGGARA BARAT,3,34039.00,226627.00,"29,66","1 876,20",40489.00,2003
NUSA TENGGARA TIMUR,3,13040.00,103341.00,"29,13","1 886,50",13637.00,2003
